Id,Category,Function,AWS,Azure,Google Cloud
1,AI and machine learning,AI containers,AWS Deep Learning Containers,GPU support on AKS,Deep Learning Containers
2,AI and machine learning,AI prediction human review and moderation,Amazon Augmented AI (Amazon A2I),Azure Content Moderator,N/A
3,AI and machine learning,AI machine images,AWS Deep Learning AMIs,Data Science Virtual Machines,Deep Learning VM Image
4,AI and machine learning,Chat bot builder,Amazon Lex,"Azure Bot Service, Health Bot, QnA Maker",Dialogflow
5,AI and machine learning,Data labeling,Amazon SageMaker Ground Truth,Azure Machine Learning data labeling,Vertex Data Labeling
6,AI and machine learning,"Document extraction, image content analysis",Amazon Textract,"Azure Form Recognizer, Ink Recognizer, Computer Vision, Custom Vision",Vision API
7,AI and machine learning,"Image and video recognition, indexing",Amazon Rekognition,"Azure Face, Video Indexer",Video AI
8,AI and machine learning,Inference accelerator,Amazon Elastic Inference,GPUs on AKS,"Cloud TPU, Edge TPU"
9,AI and machine learning,"Language recognition, sentiment analysis",Amazon Comprehend,"Azure Immersive Reader, Language Understanding, Text Analytics","Cloud Natural Language AI, Healthcare Natural Language AI"
10,AI and machine learning,Language translation,Amazon Translate,"Speech Translation, Translator","Cloud Translation, Media Translation (beta)"
11,AI and machine learning,Machine learning hardware,"AWS Inferentia, AWS Trainium (preview*)",FPGA,Cloud TPU
12,AI and machine learning,Managed machine learning platform,Amazon SageMaker,Azure Machine Learning,"TensorFlow Enterprise, Vertex AI"
13,AI and machine learning,Notebooks,Amazon EMR Notebooks,"Integrations through Visual Studio, Azure and GitHub",Notebooks
14,AI and machine learning,Online fraud detection,Amazon Fraud Detector,N/A,reCAPTCHA Enterprise
15,AI and machine learning,Prediction review and moderation,"Amazon Augmented AI, Amazon SageMaker Clarify",Azure Content Moderator,N/A
16,AI and machine learning,Recommendation integration,Amazon Personalize,Personalizer,Recommendations AI
17,AI and machine learning,Speech recognition,Amazon Transcribe,"Speaker Recognition (preview), Speech to Text",Cloud Speech-to-Text API
18,AI and machine learning,Text-to-speech,Amazon Polly,Text to Speech,Cloud Text-to-Speech API
19,AI and machine learning,Time-series forecasting,Amazon Forecast,N/A,N/A
20,AI and machine learning,Vision/speech modeling packaged devices,AWS DeepLens,Azure Kinect DK,N/A
