Id,Service,Category,Description
1,Active Directory Connector (AD Connector),"Security, Identity, & Compliance",Redirect directory requests to your on-premises Microsoft Active Directory
2,Alexa for Business,Business Applications,Empower your organization with Alexa
3,Alexa Top Sites,,"Provides lists of web sites, ordered by Alexa Traffic Rank"
4,Alexa Web Information Service,,Create innovative Web solutions and services based on Alexa's vast information about web sites
5,Amazon API Gateway,Front-End Web & Mobile,"Build, deploy, and manage APIs"
6,Amazon AppFlow,Application Integration,No-code integration for SaaS apps & AWS services
7,Amazon AppIntegrations,,Configure and reuse connections to external applications
8,Amazon AppStream 2.0,End User Computing,Stream desktop applications securely to a browser
9,Amazon Athena,Analytics,Query data in S3 using SQL
10,Amazon Augmented AI,Machine Learning,Easily implement human review of ML predictions
11,Amazon Aurora,Databases,High performance managed relational database
12,Amazon Aurora Global Database,Databases,
13,Amazon Aurora Multi-Master,Databases,Create multiple read-write instances of your Aurora database across multiple Availability Zones
14,Amazon Aurora Parallel Query,Databases,
15,Amazon Aurora Serverless,Databases,
16,Amazon Braket,Quantum Technologies,Accelerate quantum computing research
17,Amazon Chime,Business Applications,"Frustration-free meetings, video calls, and chat"
18,Amazon Chime Business Calling,,
19,Amazon Chime Voice Connector,,Cost-effective SIP trunking and advanced telephony features powered by AWS
20,Amazon Cloud Directory,,"Fully managed, hierarchical data store in AWS cloud"
21,Amazon CloudFront,Networking & Content Delivery,Global content delivery network
22,Amazon CloudFront Field-Level Encryption,,
23,Amazon CloudFront Functions,,"Write lightweight functions in JavaScript for high-scale, latency-sensitive CDN customizations"
24,Amazon CloudFront Origin Shield,,"Minimize your origin’s load, improve its availability, and reduce its operating costs"
25,Amazon CloudSearch,Analytics,Managed search service
26,Amazon CloudWatch,Management & Governance,Monitor resources and applications
27,Amazon CloudWatch Anomaly Detection,,
28,Amazon CloudWatch Application Insights,,Facilitates observability for your applications and underlying AWS resources
29,Amazon CloudWatch Contributor Insights,,Analyze log data and create time series that display contributor data
30,Amazon CloudWatch Digital Experience Monitoring (DEM),,
31,Amazon CloudWatch Evidently,,Safely validate new features by serving them to a specified percentage of your users while you roll out the feature
32,Amazon CloudWatch Logs,,"Monitor, store, and access your log files from Amazon Elastic Compute Cloud (Amazon EC2) instances, AWS CloudTrail, Route 53, and other sources"
33,Amazon CloudWatch Logs Agent,,
34,Amazon CloudWatch Metric Streams,,
35,Amazon CloudWatch Metrics Insights,,Query your metrics at scale
36,Amazon CloudWatch RUM,,Perform real user monitoring to collect and view client-side data about your web application performance
37,Amazon CloudWatch ServiceLens,,
38,Amazon CloudWatch Synthetics,,"Create canaries, configurable scripts that run on a schedule, to monitor your endpoints and APIs"
39,Amazon CloudWatch Vended Logs,,
40,Amazon CodeGuru,Machine Learning,Find your most expensive lines of code
41,Amazon CodeGuru Profiler,,"Profile your applications in the cloud from a single, centralized dashboard"
42,Amazon CodeGuru Reviewer,,Finds and flags code defects and suggests recommendations to improve your code
43,Amazon Cognito,"Security, Identity, & Compliance",Identity management for your apps
44,Amazon Cognito identity pools (Amazon Cognito Federated Identities),,Delivers scoped temporary credentials to mobile devices and other untrusted environments
45,Amazon Cognito Sync,,Enables cross-device syncing of application-related user data
46,Amazon Comprehend,Machine Learning,Discover insights and relationships in text
47,Amazon Comprehend Medical,,Extract information from unstructured medical text accurately and quickly
48,Amazon Connect,Business Applications,Omnichannel cloud contact center
49,Amazon Connect Customer Profiles,,"Enable agents to deliver faster, more personalized customer service"
50,Amazon Connect High-Volume Outbound Communications,,
51,Amazon Connect Tasks,,"Easily automate, track, and manage tasks for contact center agents"
52,Amazon Connect Voice ID,,Real-time caller authentication and fraud risk detection using ML-powered voice analysis
53,Amazon Connect Wisdom,,Deliver agents the information they need to solve issues in real-time
54,Amazon Corretto,Developer Tools,Production-ready distribution of OpenJDK
55,Amazon Data Lifecycle Manager,,"Automate the creation, retention, and deletion of EBS snapshots and EBS-backed AMIs"
56,Amazon Detective,"Security, Identity, & Compliance",Investigate potential security issues
57,Amazon DevOps Guru,Machine Learning,ML-powered cloud operations service to improve application availability
58,Amazon DevOps Guru for RDS,Machine Learning,"Detect, diagnose, and remediate performance issues in Amazon RDS"
59,Amazon DevPay,,
60,Amazon DocumentDB,Databases,Fully managed document database
61,Amazon DynamoDB,Databases,Managed NoSQL database
62,Amazon DynamoDB Accelerator (DAX),,"Fully managed, highly available, in-memory cache for Amazon DynamoDB"
63,Amazon EBS Snapshots Archive,Storage,Archive EBS Snapshots and save up to 75% in snapshot storage costs
64,Amazon EC2,Compute,Virtual servers in the cloud
65,Amazon EC2 Auto Scaling,Compute,Scale compute capacity to meet demand
66,Amazon EC2 C7g Instances & Graviton3,Compute,Best price performance for compute-intensive workloads in Amazon EC2
67,Amazon EC2 Dedicated Hosts,,Dedicated hardware to support existing software licenses and improve compliance
68,Amazon EC2 G5g Instances,Compute,Best price performance in Amazon EC2 for Android game streaming
69,Amazon EC2 I4i Instances,Compute,The highest local storage performance in Amazon EC2
70,Amazon EC2 Im4gn/Is4gen Instances,Compute,Best price performance and lowest cost SSD-based storage in Amazon EC2
71,Amazon EC2 Image Builder,,Build and maintain secure images
72,Amazon EC2 Instance Connect,,Connect to your Linux instances using Secure Shell (SSH)
73,Amazon EC2 M1 Mac Instances,Compute,Better application build performance and faster tests for macOS
74,Amazon EC2 M6a Instances,Compute,General purpose instances powered by 3rd generation AMD EPYC processors
75,Amazon EC2 Reserved Instances (RI),,
76,Amazon EC2 Spot Instances,Compute,Run workloads for up to 90% off
77,Amazon EC2 Trn1 Instances,Compute,The best price performance for training deep learning models in the cloud
78,Amazon EC2 VM Import/Export,,Import VM images from your existing environment to Amazon EC2 instances and export them back to your on-premises environment
79,Amazon EC2 X2idn/X2iedn Instances,Compute,Up to 50% better compute price performance than previous generation instances
